"","c4_list","d2_list","d3_list"
"761",1,6.32507844131637,0.506746325383569
"762",1,6.32584810914319,0.50669660985079
"763",1,6.32661668675721,0.506646973435301
"764",1,6.32738417714306,0.506597415905713
"765",1,6.32815058327328,0.506547937031728
"766",1,6.32891590810838,0.506498536583969
"767",1,6.32968015459691,0.506449214334062
"768",1,6.33044332567555,0.506399970054537
"769",1,6.33120542426911,0.506350803518965
"770",1,6.33196645329066,0.506301714501813
"771",1,6.33272641564155,0.50625270277853
"772",1,6.33348531421149,0.506203768125505
"773",1,6.33424315187862,0.506154910320036
"774",1,6.33499993150953,0.506106129140395
"775",1,6.3357556559594,0.50605742436573
"776",1,6.33651032807196,0.506008795776193
"777",1,6.33726395067963,0.505960243152725
"778",1,6.33801652660354,0.505911766277359
"779",1,6.33876805865362,0.505863364932865
"780",1,6.3395185496286,0.505815038903016
"781",1,6.34026800231616,0.505766787972483
"782",1,6.3410164194929,0.505718611926731
"783",1,6.34176380392443,0.505670510552259
"784",1,6.3425101583655,0.505622483636223
"785",1,6.34325548555986,0.505574530967062
"786",1,6.34399978824056,0.505526652333688
"787",1,6.34474306912985,0.505478847526085
"788",1,6.34548533093929,0.505431116335001
"789",1,6.34622657636976,0.505383458552137
"790",1,6.34696680811161,0.505335873969986
"791",1,6.34770602884459,0.505288362381885
"792",1,6.34844424123802,0.505240923582092
"793",1,6.34918144795076,0.505193557365616
"794",1,6.3499176516313,0.505146263528367
"795",1,6.35065285491783,0.505099041867062
"796",1,6.35138706043826,0.505051892179272
"797",1,6.35212027081028,0.50500481426333
"798",1,6.35285248864143,0.504957807918459
"799",1,6.3535837165292,0.50491087294437
"800",1,6.35431395706084,0.50486400914245
"801",1,6.35504321281376,0.504817216314072
"802",1,6.35577148635539,0.504770494261625
"803",1,6.35649878024323,0.504723842788323
"804",1,6.35722509702493,0.504677257351138
"805",1,6.35795043923835,0.504630746502201
"806",1,6.35867480941157,0.504584305647628
"807",1,6.359398210063,0.504537934593804
"808",1,6.36012064370137,0.50449163314791
"809",1,6.36084211282583,0.504445401117827
"810",1,6.36156261992594,0.504399238312248
"811",1,6.36228216748178,0.504353144540656
"812",1,6.36300075796396,0.504307119613242
"813",1,6.36371839383367,0.504261163340978
"814",1,6.36443507754276,0.504215275535629
"815",1,6.36515081153373,0.5041694560096
"816",1,6.36586559823982,0.504123704576158
"817",1,6.36657944008507,0.504078021049254
"818",1,6.3672923394843,0.504032405243614
"819",1,6.36800429884323,0.503986856974603
"820",1,6.36871532055848,0.503941376058441
"821",1,6.36942540701763,0.503895962311997
"822",1,6.37013456059927,0.503850615552871
"823",1,6.37084278367303,0.503805335599411
"824",1,6.37155007859964,0.503760122270641
"825",1,6.37225644773097,0.503714975386353
"826",1,6.37296189341005,0.503669894766941
"827",1,6.37366641797117,0.503624880233646
"828",1,6.37437002373987,0.503579931608283
"829",1,6.37507271303299,0.50353504871345
"830",1,6.37577448815876,0.503490231372371
"831",1,6.37647535141676,0.503445479409006
"832",1,6.37717530509806,0.503400792647982
"833",1,6.37787435148517,0.503356170914615
"834",1,6.37857249285216,0.503311614034911
"835",1,6.37926973146463,0.503267121835529
"836",1,6.37996606957983,0.503222694143777
"837",1,6.38066150944661,0.503178330787737
"838",1,6.38135605330554,0.503134031596023
"839",1,6.38204970338892,0.503089796398036
"840",1,6.38274246192085,0.503045625023506
"841",1,6.38343433111713,0.503001517303452
"842",1,6.3841253131855,0.502957473069068
"843",1,6.3848154103256,0.502913492152266
"844",1,6.38550462472896,0.502869574385628
"845",1,6.38619295857909,0.502825719602449
"846",1,6.38688041405152,0.502781927636757
"847",1,6.38756699331381,0.502738198322652
"848",1,6.38825269852561,0.502694531495511
"849",1,6.38893753183868,0.502650926991097
"850",1,6.38962149539698,0.502607384645821
"851",1,6.39030459133661,0.502563904296712
"852",1,6.39098682178596,0.502520485781387
"853",1,6.39166818859829,0.502477132339319
"854",1,6.39234869442781,0.502433836924873
"855",1,6.393028341106,0.502390602860135
"856",1,6.39370713073052,0.502347429985277
"857",1,6.39438506539153,0.502304318140806
"858",1,6.39506214717151,0.50226126716836
"859",1,6.39573837814555,0.502218276909692
"860",1,6.39641376038123,0.502175347207285
"861",1,6.3970882959387,0.502132477904255
"862",1,6.3977619868707,0.502089668844284
"863",1,6.39843483522262,0.502046919871653
"864",1,6.39910684303251,0.502004230831227
"865",1,6.39977801233112,0.501961601568432
"866",1,6.40044834514194,0.5019190319293
"867",1,6.40111784348124,0.501876521760428
"868",1,6.40178650935811,0.501834070908948
"869",1,6.40245434477445,0.501791679222654
"870",1,6.40312135172505,0.501749346549816
"871",1,6.40378753219762,0.5017070727393
"872",1,6.4044528881728,0.501664857640542
"873",1,6.40511742162421,0.501622701103571
"874",1,6.40578113451847,0.501580602978889
"875",1,6.4064440288153,0.501538563117404
"876",1,6.40710610646734,0.501496581371179
"877",1,6.4077673694205,0.501454657592205
"878",1,6.40842781961375,0.501412791633243
"879",1,6.40908745897925,0.501370983347562
"880",1,6.40974628944235,0.501329232588995
"881",1,6.41040431292165,0.50128753921191
"882",1,6.41106153132901,0.501245903071235
"883",1,6.41171794656958,0.501204324022342
"884",1,6.41237356054183,0.501162801921266
"885",1,6.4130283751376,0.501121336624462
"886",1,6.41368239224214,0.501079927988924
"887",1,6.41433561373407,0.501038575872235
"888",1,6.4149880414855,0.500997280132432
"889",1,6.415639677362,0.500956040628139
"890",1,6.41629052322267,0.50091485721836
"891",1,6.41694058092013,0.500873729762765
"892",1,6.41758985230059,0.500832658121441
"893",1,6.41823833920384,0.500793407008144
"894",1,6.4188860434633,0.500751932848379
"895",1,6.41953296690606,0.500709776691939
"896",1,6.4201791113529,0.500668926918997
"897",1,6.42082447861829,0.500628132268491
"898",1,6.42146907051049,0.500587392603524
"899",1,6.42211288883148,0.500546707787719
"900",1,6.42275593537707,0.500506077685203
"901",1,6.42339821193691,0.500465502160533
"902",1,6.42403972029449,0.500424981078819
"903",1,6.42468046222719,0.500384514305638
"904",1,6.4253204395063,0.500344101707022
"905",1,6.42595965389705,0.500303743149546
"906",1,6.42659810715865,0.500263438500144
"907",1,6.4272358010443,0.500223187626349
"908",1,6.42787273730123,0.500182990396083
"909",1,6.42850891767069,0.500142846677819
"910",1,6.42914434388804,0.500102756340409
"911",1,6.42977901768273,0.500062719253245
